eps_iter,acc
0.4,0.7163
0.4,0.6474
0.4,0.5731
0.4,0.4895
0.4,0.4119
0.4,0.3397
0.4,0.2716
0.4,0.2081
0.4,0.1585
0.4,0.1192
0.4,0.0857
0.4,0.0781
0.4,0.0709
0.4,0.0644
0.4,0.0596
0.4,0.0554
0.4,0.0525
0.4,0.05
0.4,0.0473
0.4,0.0445
0.4,0.0426
0.4,0.0398
0.4,0.0392
0.4,0.0374
0.4,0.0353
0.4,0.0341
0.4,0.0336
0.4,0.0326
0.4,0.0314
0.4,0.0304
0.4,0.0295
0.4,0.0286
0.4,0.0287
0.4,0.0282
0.4,0.0276
0.4,0.0265
0.4,0.0266
0.4,0.0257
0.4,0.0254
0.4,0.0246
0.4,0.0232
0.4,0.0236
0.4,0.0225
0.4,0.0222
0.4,0.0227
0.4,0.0233
0.4,0.0231
0.4,0.023
0.4,0.0221
0.4,0.0224
